sr no ,scheme_id,scheme_name,level,state,department,short_description,gender,min_age,max_age,category,income_ceiling_annual,occupation,business_type,disability_status,other_conditions,benefits_summary,application_process_summary,documents_required,last_verified_date,source_links,verification_status,tier,notes
23,,Passenger Vehicle/Loading Vehicle Loan Scheme,State,Gujarat,"Social Justice and Empowerment Department, Gujarat / Dr. Ambedkar Antyodaya Development Corporation",Loan assistance to unemployed individuals belonging to Scheduled Caste Antyodaya families in Gujarat for purchasing passenger or freight vehicles to create self-employment opportunities in the transport sector.,Any,Not Specified,Not Specified,SC,300000,Unemployed,Transport Sector; Passenger Vehicle; Freight/Loading Vehicle,Not Specified,"Applicant must be a resident of Gujarat, belong to the Scheduled Caste (SC) category, be unemployed, and belong to an Antyodaya family. Annual family income must not exceed ₹3,00,000.",Financial assistance in the form of a loan for purchasing passenger or freight/loading vehicles to create self-employment opportunities in the transport sector. The provided source does not specify the maximum loan amount or interest rate.,"Applicants apply online through the Dr. Ambedkar Antyodaya Development Corporation (DAADC) online portal. The applicant must register or log in, fill in the application form with personal and scheme-specific details, upload the required documents, and submit the application.",Aadhaar Card; Ration Card; First Page of Bank Passbook; Income Certificate; Caste Certificate; Abstract of Driving Licence; School Leaving Certificate / Birth Certificate / Medical Officer or Civil Surgeon Certificate; Driving Licence,29-08-2026,https://www.myscheme.gov.in/schemes/pvlvls,Verified,Tier 2,"Gujarat-specific SC self-employment scheme targeted specifically at unemployed members of Scheduled Caste Antyodaya families. Annual family income ceiling is ₹3 lakh. The scheme supports purchase of passenger or freight/loading vehicles for transport-sector self-employment. The provided source does not specify age eligibility, disability eligibility, maximum loan amount, interest rate, repayment period, or beneficiary contribution; these details should not be assumed and require verification from the latest official DAADC scheme guidelines."
24,,Prime Minister’s Employment Generation Programme (PMEGP),Central,All India,"Ministry of Micro, Small & Medium Enterprises (MSME)",A credit-linked subsidy programme supporting new micro-enterprises in the non-farm sector to generate self-employment and sustainable employment in rural and urban areas.,Any,Not Specified,Not Specified,SC,Not Specified,Entrepreneur,,,,,,,,,,,
25,,D Devaraj Urs Individual Loan Scheme,State,Karnataka,"D Devaraj Urs Backward Classes Development Corporation (KSBCDC) / Department of Backward Classes Welfare, Govt of Karnataka","Financial assistance for self-employment activities under business, service, and agricultural and allied activities for Backward Class persons in Karnataka.",Any,Not Specified,Not Specified,OBC,Not Specified,Not Specified,Business / Service / Agriculture and allied activities,Not Specified,Applicant must belong to a Backward Class category recognized in Karnataka.,"Financial assistance up to ₹50,000 per beneficiary. The amount includes 30% (maximum ₹10,000) as subsidy and the remaining as loan at 4% interest per annum.",Applicants apply through the District Office of D Devaraj Urs Backward Classes Development Corporation (Devaraja Arasu Bhavan) or via the Corporation's Suvidha portal.,Not Specified,29-08-2026,https://dbcdc.karnataka.gov.in/33/d-devaraj-urs-individual-loan-scheme/en,Verified,Tier 2,"Official Karnataka government source (dbcdc.karnataka.gov.in). Age, income ceiling and document requirements beyond 'Backward Class' membership are not specified in the provided source."
26,,Arivu Education Loan Scheme,State,Karnataka,"D Devaraj Urs Backward Classes Development Corporation (KSBCDC) / Department of Backward Classes Welfare, Govt of Karnataka","Education loan for Backward Class students in Karnataka studying Medical, Engineering and other professional courses.",Any,Not Specified,Not Specified,OBC,350000,Student,Not Applicable,Not Specified,"Applicant must belong to a Backward Class category and be studying Medical, Engineering or another professional course. Annual family income should not exceed ₹3.50 lakh.","Loan of ₹1 lakh per year or actual cost incurred towards admission fee, tuition fee, laboratory fee, examination fee etc., whichever is applicable. Interest rate is 2% per annum.",Applicants apply through the Corporation's Suvidha portal / District Office.,Not Specified,29-08-2026,https://dbcdc.karnataka.gov.in/31/arivu-education-loan-scheme/en,Verified,Tier 2,Official Karnataka government source. Age and specific document list not specified in the provided source.
27,,Interest Free Loan for Higher Education in Foreign University,State,Karnataka,"D Devaraj Urs Backward Classes Development Corporation (KSBCDC) / Department of Backward Classes Welfare, Govt of Karnataka","Interest-free loan for Backward Class (Category-1, 2A, 3A, 3B) students in Karnataka pursuing Master's Degree or Ph.D. at top-ranked foreign universities.",Any,Not Specified,35,OBC,1500000,Student,Not Applicable,Not Specified,"Applicant must belong to Backward Classes Category-1, 2A, 3A or 3B. Admitting foreign university must be ranked below 1000 in QS World Rankings. Minimum 60% marks required in qualifying examination. Annual family income should not exceed ₹15 lakh.","Maximum loan of ₹50 lakh over 2 years (up to ₹25 lakh per year), interest-free.",Applicants apply through the Corporation's Suvidha portal / District Office.,Not Specified,29-08-2026,https://dbcdc.karnataka.gov.in/30/interest-free-loan-for-higher-education-in-foreign-university/en,Needs Review,Tier 2,"Official Karnataka government source, but the page text appears machine-translated/garbled regarding exact age criteria (references both '32 years for Master's/PhD' and a '35 year' limit). Verify precise age criteria against the original Kannada notification before production use."
28,,Udyogini Scheme,State,Karnataka,"Karnataka State Women's Development Corporation (KSWDC) / Department of Women and Child Development, Govt of Karnataka",Women entrepreneurship scheme providing subsidised loans to women for starting or expanding small-scale businesses in trade and service sectors.,Female,Not Specified,Not Specified,GENERAL/SC/ST/OBC,Not Specified,Entrepreneur,Trade / Service small business,Not Specified,Applicant must be a woman seeking to start or expand a small-scale trade or service business. Category-based subsidy rates apply.,"Subsidised loans up to ₹3 lakh. SC/ST women, widows and women with disabilities receive a 50% subsidy up to ₹1.5 lakh; women in general/other special categories receive a 30% subsidy up to ₹90,000.",Applicants apply through KSWDC or partner bank branches.,Not Specified,29-08-2026,https://www.myscheme.gov.in/schemes/us,Needs Review,Tier 2,Detailed figures sourced from a secondary aggregator (niir.org) summarising the scheme rather than a primary KSWDC document directly fetched; a myScheme listing exists (URL given) but its detailed content could not be retrieved directly in this session. Age and income-ceiling criteria are not confirmed and should be verified against KSWDC's official scheme document before production use.
29,,Entrepreneur Development Programme (EDP),State,Tamil Nadu,Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO) / Adi Dravidar and Tribal Welfare Department,Bank loans arranged with TAHDCO subsidy for self-employment of Scheduled Caste and Scheduled Tribe individuals (including SC converts to Christianity) in Tamil Nadu.,Any,18,65,SC/ST,300000,Entrepreneur,Petrol/Diesel/Gas retail; general small business (financed via banks under MUDRA/Stand-Up India),Not Specified,Applicant must belong to Scheduled Caste or Scheduled Tribe (including SC converted to Christianity) and be an unemployed entrepreneur aged 18-65. Annual family income should be below ₹3 lakh (some district sources state ₹1 lakh for specific sub-categories).,"Banks sanction loans (including via MUDRA/Stand-Up India) and TAHDCO releases a subsidy. For setting up Petrol/Diesel/Gas retail outlets, subsidy is 30% of project cost up to a maximum of ₹2.25 lakh.",Applicants approach banks directly or apply through the TAHDCO District Manager's office; TAHDCO releases the subsidy component once the bank sanctions the loan.,Not Specified,29-08-2026,https://ariyalur.nic.in/departments/tahdco/ / https://chennai.nic.in/departments/tahdco-tah/,Verified,Tier 2,"Official district-level TAHDCO pages. Income ceiling is stated as ₹3 lakh in most district sources (Ariyalur, Thanjavur) but one source (Viluppuram) cites ₹1 lakh for a related women-specific sub-scheme; treat ₹3 lakh as the general EDP ceiling."
30,,Economic Assistance to Self Help Groups (EA to SHG),State,Tamil Nadu,Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO) / Adi Dravidar and Tribal Welfare Department,Credit assistance to Adi Dravidar (Scheduled Caste) women's Self Help Groups in Tamil Nadu for income-generating economic activities.,Female,Not Specified,Not Specified,SC,300000,Self-Help Group member,Income-generating activities,Not Specified,SHG members must belong to Scheduled Caste. Annual family income of applicants should not exceed ₹3 lakh. SHGs must have been accredited (graded) at least twice to access the income-generating loan component.,"Credit for income-generating activities up to ₹2.5 lakh or 50% of the project cost, whichever is lower, at a reasonable interest rate. A one-time Front-End Subsidy of ₹25,000 per SHG is also available for revolving fund.",SHGs apply through the TAHDCO District Manager's office.,Not Specified,29-08-2026,https://viluppuram.nic.in/departments/tahdco/ / https://thanjavur.nic.in/tahdco/,Verified,Tier 2,Official district TAHDCO pages. This is distinct from the general EDP scheme and specifically targets registered women's SHGs.
31,,Land Purchase and Development Scheme,State,Tamil Nadu,Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO) / Adi Dravidar and Tribal Welfare Department,"Subsidy assistance to Scheduled Caste women in Tamil Nadu to purchase and develop agricultural land, improving their land holding and socio-economic status.",Female,18,65,SC,100000,Not Specified,Agricultural land purchase,Not Specified,"Applicant must be a Scheduled Caste woman aged 18-65. Annual family income should not exceed ₹1 lakh (per one district source; other TAHDCO income ceilings for related schemes are stated as ₹3 lakh, so this should be re-confirmed). Applicant and family must not have availed any prior subsidy under TAHDCO schemes.","Subsidy of a maximum of 30% of the project cost or ₹2.25 lakh, whichever is less, released as Front-End subsidy. 100% stamp duty exemption is provided for registration of the land purchased under the scheme.",Applicants apply through the TAHDCO District Manager's office.,Not Specified,29-08-2026,https://viluppuram.nic.in/departments/tahdco/,Needs Review,Tier 2,Income ceiling for this specific land-purchase sub-scheme (₹1 lakh) differs from the ₹3 lakh ceiling cited for other TAHDCO schemes in other district sources; verify the current applicable ceiling with TAHDCO head office before production use.
32,,Seed Money Scheme (Margin Money Scheme),State,Maharashtra,"District Industries Centres (DIC) / Directorate of Industries, Government of Maharashtra","Soft loan (seed money) to unemployed persons in Maharashtra to meet part of the margin money required to avail institutional finance for self-employment ventures in industry, service and business.",Any,Not Specified,Not Specified,GENERAL/SC/ST/OBC,Not Specified,Self-Employed / Entrepreneur,Industry / Service / Business,Yes,"Applicant must be an unemployed person proposing a project approved by a financial institution/bank. Project cost limit is ₹25 lakh for industry, service and business activities.","Seed money assistance at 15% of the project cost approved by the financial institution for general category applicants. For projects up to ₹10 lakh, the quantum of assistance is increased to 20% for SC/ST/OBC/NT/VT and Handicapped applicants. Interest rate is 6% per annum, with a 3% rebate for regular, on-time repayment (net 3% effective interest). Repayment starts after 3 years in 4 yearly instalments (6 months for vehicle loans).",Applicants apply through the concerned District Industries Centre (DIC) after securing in-principle finance approval from a bank/financial institution.,Not Specified,29-08-2026,https://maitri.maharashtra.gov.in/schemes-2/,Verified,Tier 2,"Official Maharashtra Industry, Trade and Investment Facilitation (MAITRI) portal. Age and specific documents not detailed in the provided source."
33,,Margin Money Scheme for SC/ST Tiny Units,State,Maharashtra,"District Industries Centres (DIC) / Directorate of Industries, Government of Maharashtra",Margin money/subsidy assistance to Scheduled Caste and Scheduled Tribe entrepreneurs in Maharashtra to set up tiny units (investment in plant & machinery below ₹2 lakh) in towns and rural areas with population under 1 lakh.,Any,Not Specified,Not Specified,SC/ST,Not Specified,Entrepreneur,"Tiny units — Small Scale Industries, Village Industries, handicrafts, handlooms, silk and coir industries",Not Specified,"Applicant must belong to Scheduled Caste or Scheduled Tribe. The unit must fall within the purview of the Small Scale Industries Board or Village Industries/handicrafts/handloom/silk/coir sectors, be located in a town/rural area with population under 1 lakh, with plant & machinery investment below ₹2 lakh.","Margin Money assistance of up to 30% of total fixed capital investment or a maximum of ₹60,000, whichever is less (compared to 20% or ₹40,000 for general category applicants). Interest is 4% per annum, with 1% penal interest on default. Repayment is within 8 years with an initial moratorium of 2 years.",Applicants apply through the concerned District Industries Centre (DIC).,Not Specified,29-08-2026,https://doingbusinessinmaharashtra.org/DIC_schemes.php,Verified,Tier 2,Sourced from the Government of Maharashtra's 'Doing Business in Maharashtra' portal listing DIC schemes. Especially useful for rural artisans per the source.
34,,OBC Corporation Direct/Interest-Subvention Loan Scheme,State,Maharashtra,"Other Backward Classes Development Corporation (OBCDC), Government of Maharashtra","Interest-subvention loans to Other Backward Class community members in Maharashtra for commercial and industrial self-employment ventures, with the state government bearing the interest cost.",Any,Not Specified,Not Specified,OBC,Not Specified,Entrepreneur,Commercial / Industrial ventures,Not Specified,Applicant must belong to an Other Backward Class community in Maharashtra proposing a commercial or industrial self-employment venture.,"Direct loan of up to ₹1 lakh for individual enterprising ventures. Loans disbursed via OBCDC of up to ₹10 lakh for individuals and up to ₹50 lakh for groups of individuals. The Maharashtra government pays interest of up to 12% per annum on the loan on the beneficiary's behalf, effectively making it interest-free to the borrower, subject to timely repayment.",Applicants apply through the Other Backward Classes Development Corporation (OBCDC).,Not Specified,29-08-2026,https://www.pressreader.com/india/hindustan-times-st-mumbai/20190116/281956018959004,Needs Review,Tier 3,"Sourced from a 2019 news report on a Maharashtra state budget announcement rather than a primary OBCDC scheme document; loan limits and interest-subvention terms should be re-confirmed against the current official OBCDC scheme notification, as budget-announced limits can change year to year."
35,,SC/ST/OBC Self Employment Loan Scheme,State,Rajasthan,"Rajasthan Scheduled Castes Scheduled Tribes Finance and Development Cooperative Corporation Limited (RSCSTFDCCL) / Social Justice and Empowerment Department, Government of Rajasthan","Concessional-interest self-employment loan scheme for Scheduled Caste, Scheduled Tribe, Other Backward Class, Safai Karamchari and disabled individuals in Rajasthan.",Any,Not Specified,Not Specified,SC/ST/OBC,Not Specified,Self-Employed,Not Specified,Yes,"Applicant must belong to Scheduled Caste, Scheduled Tribe, Other Backward Class, be a Safai Karamchari, or a Person with Disability, and be a resident of Rajasthan seeking self-employment.","Loans provided at a concessional rate of interest for self-employment purposes; exact loan amount and interest rate are not specified in the sources reviewed. Loan applications are reviewed by a division-level loan appraisal team, which approves or rejects applications within 3 months of receipt, and disbursed to the applicant's Jan Aadhaar-linked bank account.",Applicants apply online during the annual application window (historically 1 September to 30 November) via the Rajasthan SSO portal (sso.rajasthan.gov.in) or through e-Mitra kiosks.,Not Specified,29-08-2026,https://sso.rajasthan.gov.in/ (portal) — details compiled from secondary aggregator sources,Needs Review,Tier 3,"Only secondary aggregator sources (sarkariyojana.com and similar) were available in this session rather than a primary RSCSTFDCCL/Social Justice Department document; specific loan amount, interest rate, age and income-ceiling figures could not be confirmed and must be verified against the Corporation's official scheme notification before production use."
36,,Self Employment Loan Scheme (KSDCSCST),State,Kerala,"Kerala State Development Corporation for Scheduled Castes and Scheduled Tribes Ltd (KSDCSCST) / Department of Scheduled Castes and Scheduled Tribes Development, Government of Kerala","Loan scheme for Scheduled Caste and Scheduled Tribe individuals in Kerala, particularly those who have undergone relevant training, to take up self-employment in agriculture, industry, trade and commerce.",Any,Not Specified,Not Specified,SC/ST,Not Specified,Self-Employed,Agriculture / Industry / Trade / Commerce,Not Specified,Applicant must belong to Scheduled Caste or Scheduled Tribe in Kerala; preference given to those who have undergone relevant skill training.,"Interest rate is 7% per annum for loans up to ₹5 lakh, and 9% per annum for loans above ₹5 lakh. Repayment period is 5 years.",Applicants apply through KSDCSCST district/regional offices.,Not Specified,29-08-2026,https://ksdcscst.kerala.gov.in/Schemes,Verified,Tier 2,"Official Kerala government (KSDCSCST) source. Maximum loan amount, age and income-ceiling criteria are not specified in the provided source."
37,,Self Employment Loan Scheme (NMDFC-linked),State,Kerala,"Kerala State Backward Classes Development Corporation (KSBCDC) / Department of Backward Classes Development, Government of Kerala","Loan scheme for Backward Class individuals in Kerala to take up self-employment ventures, financed through the National Minorities Development & Finance Corporation (NMDFC) channel.",Any,Not Specified,Not Specified,OBC,Not Specified,Self-Employed,Not Specified,Not Specified,Applicant must belong to a Backward Class/minority community as per NMDFC/KSBCDC eligibility norms.,Maximum loan amount of ₹20 lakh at an interest rate of 6% per annum.,Applicants apply through KSBCDC district offices.,Not Specified,29-08-2026,https://malappuram.nic.in/en/kerala-state-backward-classes-development-corporation/,Verified,Tier 2,"Sourced from a Kerala district administration page listing KSBCDC schemes. Repayment period, age and income-ceiling criteria are not specified in the provided source."
38,,Jeevanam Self-Employment Scheme,State,Kerala,"Department of Social Justice, Government of Kerala","One-time financial assistance for self-employment to dependents of crime victims, or individuals seriously injured due to criminal acts, in Kerala.",Any,Not Specified,Not Specified,GENERAL/SC/ST/OBC,100000,Not Specified,Self-employment ventures (general),Not Specified,"Applicant must be either a person seriously injured in a crime, or a dependent (spouse or unmarried child) of a crime victim. Annual family income should not exceed ₹1 lakh. Application must be submitted within 5 years of the crime.","One-time financial aid of ₹20,000 to initiate a self-employment activity.","Applicants apply through the Department of Social Justice, Government of Kerala (district offices).",Not Specified,29-08-2026,https://en.wikipedia.org/wiki/Jeevanam_Self_Employment_Scheme (citing sjd.kerala.gov.in),Verified,Tier 3,Piloted in Pathanamthitta district in 2020 before statewide extension. Sourced via a Wikipedia article citing the Kerala Department of Social Justice site (sjd.kerala.gov.in); recommend cross-checking directly against sjd.kerala.gov.in before production use.
39,,Transgender Self-Employment Loan Scheme,State,Kerala,"Kerala State Women's Development Corporation (KSWDC) / Department of Social Justice, Government of Kerala",Self-employment loan scheme for transgender community members in Kerala to support viable self-employment projects.,Not Specified,Not Specified,Not Specified,GENERAL/SC/ST/OBC,Not Specified,Not Specified,Self-employment projects (general),Not Specified,"Applicant must be a member of the transgender community in Kerala with a viable, sustainable self-employment project proposal.","Loan ranging from ₹3 lakh to ₹15 lakh. Up to 70% of the sanctioned loan is disbursed initially, with the remaining 30% released subsequently, subject to scheme conditions.",Applicants apply through the Kerala State Women's Development Corporation (KSWDC).,Not Specified,29-08-2026,https://www.deccanherald.com/amp/story/india%2Fkerala-offers-self-employment-loans-for-transgender-community-886024.html,Needs Review,Tier 3,"Sourced from a news report on the scheme's launch rather than a primary KSWDC scheme document; exact eligibility conditions, interest rate and repayment terms should be verified against KSWDC's official scheme guidelines before production use."
40,,SC Corporation Economic Support (Self-Employment) Scheme,State,Andhra Pradesh,"Andhra Pradesh Scheduled Castes Cooperative Finance Corporation (APSCCFC) / Social Welfare Department, Government of Andhra Pradesh","Bank-linked and non-bank-linked economic support schemes for Scheduled Caste individuals in Andhra Pradesh to set up self-employment units such as small business, transport and services.",Any,Not Specified,Not Specified,SC,120000,Self-Employed / Entrepreneur,"Kirana shops, tent house, fancy shop, bakery, internet centre, transport (autos, mini vans, cars) and other small businesses",Not Specified,"Applicant must belong to Scheduled Caste. Eligibility is based on double the poverty line: annual family income should not exceed ₹98,000 in rural areas and ₹1,20,000 in urban areas. Special emphasis is given to vulnerable sub-groups such as Flayers & Tanners, Bonded Labour and Jogins.","Unit cost is typically ₹1 lakh with subsidy support; per a 2013 policy change the subsidy component for self-employment schemes was enhanced to 60% of unit cost or ₹1 lakh, whichever is less (GO Ms.No.101, SW(SCP-1) Dept, dt. 31.12.2013), with the balance financed as a bank loan tied up by the District SC Cooperative Society.","Applicants apply through the District SC Cooperative Society (functioning under the District Collector's chairmanship), which scrutinises and ties up the loan with banks before releasing the subsidy.",Caste Certificate; Income Certificate; Aadhaar Card; Bank Account Details; Project/business proposal; other documents as required by the District Society.,29-08-2026,https://krishna.ap.gov.in/sc-corporation/ / https://konaseema.ap.gov.in/sc-corporation/,Verified,Tier 2,"Sourced from official Andhra Pradesh district administration pages. Subsidy percentage has changed over time via government orders (60%/₹1 lakh cap per the 2013 GO cited); benefit levels should be re-confirmed against the current year's action plan (SCAP) before production use, as funding and subsidy ratios are revised periodically."
41,,BC Corporation Individual Self-Employment Scheme (Margin Money / BC Abhyudaya Yojana),State,Andhra Pradesh,"Andhra Pradesh Backward Classes Cooperative Finance Corporation (APBCCFC) / BC Welfare Department, Government of Andhra Pradesh","Financial assistance to educated unemployed youth, skilled labourers and artisans from Backward Classes in Andhra Pradesh for self-employment, via Margin Money assistance in rural areas and BC Abhyudaya Yojana in urban areas.",Any,21,50,OBC,Not Specified,Self-Employed / Skilled Labourer / Artisan,Not Specified,Not Specified,"Applicant must belong to a Backward Class community and be aged between 21 and 50 years, and be an educated unemployed person, skilled labourer or artisan.","Financial assistance through institutional (bank) finance with a 50% subsidy as matching grant, subject to a maximum of ₹1,00,000 on the unit cost, whichever is less. Since 2016-17 the Corporation provides this as a back-end subsidy (i.e., released after the bank loan is disbursed) rather than acting as a direct lender.","Applicants apply through the District BC/SC Society, which functions per guidelines issued by APBCCFC; the Corporation acts as a facilitator for the subsidy rather than as a direct lending agency.",Not Specified,29-08-2026,https://vizianagaram.ap.gov.in/bc-corporation/,Verified,Tier 2,Official Andhra Pradesh district administration source. Income ceiling and specific documents not stated in the provided source.
42,,ADARANA Programme (Toolkit Scheme for BC Artisans),State,Andhra Pradesh,"Andhra Pradesh Backward Classes Cooperative Finance Corporation (APBCCFC) / BC Welfare Department, Government of Andhra Pradesh",Toolkit and equipment assistance scheme for traditional artisans from Backward Classes in Andhra Pradesh to modernise their trade tools.,Any,Not Specified,Not Specified,OBC,Not Specified,Traditional Artisan,Toolkit / equipment procurement for traditional trades,Not Specified,Applicant must belong to a Backward Class traditional artisan community in Andhra Pradesh.,"Financial assistance in three unit-cost slabs — ₹10,000, ₹20,000 and ₹30,000 — for procurement of tools and gadgets, structured as 70% subsidy, 20% loan (via NBCFDC) and 10% beneficiary contribution. The scheme targeted 105,000 beneficiaries at the ₹10,000 slab, 83,000 at the ₹20,000 slab and 67,000 at the ₹30,000 slab in its 2018-19 relaunch. A follow-on 'ADARANA PLUS' scheme was also proposed for higher-end mechanised tools above the ₹30,000 ceiling.","Applicants apply through the District BC Corporation / APBCCFC channel as per the ADARANA guidelines (G.O.Ms.No.1, BC Welfare Dept, dated 10-03-2018).",Not Specified,29-08-2026,https://teachernews.in/adarana-programme-new-guidelines-go-for-bc-communities-loans/,Needs Review,Tier 2,Guidelines are from the scheme's 2018-19 relaunch (G.O.Ms.No.1 dated 10-03-2018); current year's beneficiary targets and unit-cost slabs should be verified against the latest APBCCFC/ADARANA notification (adarana.ap.gov.in) before production use.
43,,ST Corporation Economic Support Scheme,State,Andhra Pradesh,"Andhra Pradesh Scheduled Tribes Cooperative Finance Corporation Ltd (APSTCFC / TRICOR) / Tribal Welfare Department, Government of Andhra Pradesh","Bank-linked and non-bank-linked economic support schemes for Scheduled Tribe families in Andhra Pradesh for self-employment and livelihood activities, including novel welfare schemes such as mobile dispensing units for PDS door-delivery.",Any,Not Specified,Not Specified,ST,Not Specified,Self-Employed / Entrepreneur,"Small business, transport (e.g. four-wheeler mobile dispensing units), and other income-generating activities",Not Specified,"Applicant must belong to a Scheduled Tribe community in Andhra Pradesh. For specific novel schemes (e.g. mobile dispensing units for PDS delivery), candidates are shortlisted by a Screening-cum-Selection Committee headed by the MPDO/Municipal Commissioner and consolidated by the Project Officer, ITDA or District Tribal Welfare Officer (for non-ITDA areas).","Economic support schemes are implemented with loan tie-up from banks and directly by the District ST Corporation, in convergence with line departments. A specific novel scheme provided 700 four-wheeler mini-truck mobile dispensing units (unit cost approximately ₹5.81 lakh) for door-delivery of PDS commodities to ST beneficiaries.","Applicants apply through the District ST Corporation office or, for novel/targeted schemes, through the Project Officer, ITDA / District Tribal Welfare Officer (Non-ITDA areas), following a Screening-cum-Selection Committee process.",Not Specified,29-08-2026,https://krishna.ap.gov.in/st-corporation/ / https://cdn.s3waas.gov.in/s30777d5c17d4066b82ab86dff8a46af6f/uploads/2020/11/2020112155.pdf,Verified,Tier 2,"General ST Corporation economic-support activity is well documented at the district level; the mobile dispensing unit example is one specific novel scheme (from a 2020 Government Order) rather than the Corporation's full scheme catalogue. General loan amount, interest rate and income ceiling for the broader Economic Support Scheme are not specified in the sources reviewed and should be verified against the current STAP (ST Action Plan) notification."
44,,Differently Abled Persons Self-Employment Subsidy Scheme,State,Andhra Pradesh,"Andhra Pradesh Differently Abled and Senior Citizens Assistance Corporation (APDASCAC) / Department of Welfare of Differently Abled, Transgender and Senior Citizens, Government of Andhra Pradesh",Subsidy and loan assistance (including NHFDC-linked loans) for persons with disabilities in Andhra Pradesh to take up self-employment ventures.,Any,Not Specified,Not Specified,GENERAL/SC/ST/OBC,Not Specified,Not Specified,Self-employment ventures (general),Yes,Applicant must be a person with disability registered with APDASCAC in Andhra Pradesh. Loans for self-employment are channelled in coordination with the National Handicapped Finance and Development Corporation (NHFDC).,"APDASCAC sanctions subsidy to persons with disabilities willing to take up self-employment, and separately facilitates NHFDC loans for self-employment to persons with disabilities in the district. APDASCAC also separately provides free Aids & Appliances (tricycles, wheelchairs, hearing aids, Braille slates, etc.) to persons with disabilities whose family income is below ₹1,00,000 per annum, applied for via the apdascac.com portal — this is a distinct benefit from the self-employment subsidy.","Applicants apply through the District Office of the Department for Welfare of Differently Abled (Assistant Director, Welfare of Differently Abled & Senior Citizens) or via NHFDC-linked bank channels, per district-level announcements.",Disability Certificate / UDID; Aadhaar Card; Income Certificate; Bank Account Details; other documents as specified by APDASCAC.,29-08-2026,https://vizianagaram.ap.gov.in/differentlyabled/ / https://ananthapuramu.ap.gov.in/notice/announcement-apdascac-nhfdc-sanction-of-loans-for-persons-with-disabilities-for-self-employment-under-nhfdc/,Verified,Tier 2,"Exact loan amount, interest rate and disability percentage threshold for the self-employment subsidy specifically (as distinct from the ₹1 lakh income ceiling stated for the Aids & Appliances benefit) are not specified in the sources reviewed; verify against the current APDASCAC scheme guidelines."
45,,Minorities Self-Employment Subsidy Scheme,State,Andhra Pradesh,"Andhra Pradesh State Minorities Finance Corporation Ltd (APSMFC) / Minorities Welfare Department, Government of Andhra Pradesh","Subsidy-linked bank loan scheme for weaker-section minority individuals in Andhra Pradesh (Muslims, Christians, Sikhs, Buddhists, Parsis, Jains) to set up self-employment units in ISB (Industry, Service, Business), transport, and agriculture & allied activities.",Any,Not Specified,Not Specified,Not Specified,75000,Self-Employed / Entrepreneur,"Industry, Service, Business (ISB); Transport; Agriculture and allied activities",Not Specified,"Applicant must belong to a notified minority community (Muslim, Christian, Sikh, Buddhist, Parsi or Jain) in Andhra Pradesh. Annual family income ceiling under the 'Subsidy Grant for Bankable Scheme' was enhanced from ₹50,000 to ₹75,000 per a Government Order.","Maximum unit cost of ₹2 lakh, with the Corporation providing 50% subsidy subject to a maximum of ₹1,00,000, the beneficiary contributing 10% of the unit cost, and the remaining 40% financed as a bank loan. The Corporation also runs self-employment training programmes for unemployed minority youth, including school dropouts.",Applicants apply through APSMFC district offices or the Corporation's online/OBMMS channel; schemes have in recent years been implemented under the state's Navaratnalu welfare umbrella.,Not Specified,29-08-2026,https://kakinada.ap.gov.in/departments/andhra-pradesh-state-minorities-finance-corporation-limited/ / http://apsmfc.com/i/gortno273.pdf,Verified,Tier 2,Some district pages note that no subsidy scheme was implemented in certain recent years (e.g. 2019-20 to 2021-22) due to funding constraints; current-year scheme availability should be verified with APSMFC before production use.
